Source,Target,Weight
Joseph I. C. Clarke,G. P. Putnam's Sons,2
Joseph Richardson,J. Debrett,1
Joseph Wright of Derby,R. Vincent,1
Julian Sturgis,John Murray,1
Lady Adelaide Cadogan,Sampson Low; Co.,1
Lamorna Birch,C. Dilly,1
Laurence Irving,J. Lane,2
Leonard Terry,A. Betterton,1
Leslie Thain,Thomas; Edmunds,1
Lew Wallace,Harper; Bros.,4
Lewis Morris,Kegan Paul; Co.,1
Lewis Osborn Inniss,Daily News,2
Lisbeth Gooch Strahan,Strahan; Co.,1
Lodowick Carlell,M. Rhodes,1
Lord Byron,Hunt; Clarke,1
Lord Byron,J.; H. L. Hunt,1
Lord Byron,John Murray,4
Lord Byron,W. F. Wakeman,1
Louisa C Shore,Grant Richards,1
Louise Jordan Miln,Osgood; McIlvaine,1
Louisiana Murphy,M. H. Gill; Son,1
M. D' Aubigny,William Fearman,1
Mae West,Macmillan; Co.,1
Malcolm Ross,W. Meggy,1
Margaret Wilson,John Duncombe; Co.,1
Marian Andrews,Osgood; Co.,1
Marianne Chambers,Barker; Son,2
Marie Corelli,Richard Bentley & Sons,1
Mark Anthony Meilan,the Author,1
Mary F. Guillemard,Constable; Co.,1
Mary L. Pendered,W. Heinemann,1
Masaniello,John Miller,1
Master E. S.,Eliz. Allde,1
Master E. S.,Richard Meighen,1
Matilda Maria Blake,Hutchinson; Co.,1
Matthew Gregory Lewis,J. Bell,1
Matthew Gregory Lewis,J. F. Hughes,1
Matthew Gregory Lewis,Longman,1
Matthew Gregory Lewis,Lowndes; Hobbs,1
Meyrick Milton,Henry; Co.,1
Miles Peter Andrews,J. Ridgway,1
Miles Peter Andrews,T. Becket,2
Miles Peter Andrews,T.; W. Lowndes,1
Millie Selous,Leadenhall Press,1
Molière,James Magnus,1
Molière,Richard Wellington,1
Molly Elliot Seawell,Century Co.,1
Mr. (john) Crown,James Knapton,2
Mr. (john) Crown,R. Bentley; Joseph Hindmarsh,2
Mr. (john) Crown,R. Bentley;J. Magnes,1
Mr. (john) Crown,R. Bentley;M. Magnes,1
Mr. (john) Crown,Richard Bentley,1
Mr. (john) Crown,Richard Bentley & Sons,1
Mr. (john) Crown,Richard Wellington,2
Mr. (john) Crown,William Cademan,1
Nathaniel Lee,Jacob Tonson,1
Nathaniel Lee,R. Bentley;J. Magnes,3
Nathaniel Lee,R. Bentley;M. Magnes,3
Nathaniel Lee,R. Bentley;S. Magnes,1
Nathaniel Lee,Richard Bentley,3
Nathaniel Lee,Richard Wellington,1
Nathaniel Lee,T. Chapman,1
Neal Fyne,Smith; Botwright,1
Neil Ross,Ellis; White,1
Oliver Goldsmith,F. Newbery,1
Oliver Goldsmith,William Smith,1
Ophelia Keen,John Cumberland,1
Otherwise Lyde Joyner,In the Savoy,1
Paul Creswick,Sandes; Co.,1
Percy De Lisle,"Digby, Long",1
Percy Russell,Mentz; Co.,1
Philim Moculloch,J. Williams,1
Philip Massinger,J. Waterson,2
Philip Massinger,Robert Allot,1
Philip Massinger,S. Tipper,1
Philippe de Rohan-Chabot,the Author,3
Pierre Corneille,Henry Brome,1
Pierre Corneille,Mr. Faulder,1
R. C Buchanan,"Simpkin, Marshall",1
R. C. H Morison,W.; R. Chambers,4
R. John Collier,the Author,1
Ralph W. Macleod Fullarton,William Blackwood; Sons,1
Richard Barford,John Watts,1
Richard Brome,Francis Constable,1
Richard Brome,Henry Brome,2
Richard Brome,J.Y.,1
Richard Brome,Joseph Hindmarsh,1
Richard Carpenter,N. R.,1
Richard Combe Miller,Hatchards,1
Richard Cumberland,C. Dilly,6
Richard Cumberland,C. Dilly; G. Nicol,2
Richard Cumberland,C. Dilly; J. Walter,2
Richard Cumberland,Edward; Charles Dilly,1
Richard Cumberland,J. Walter,1
Richard Cumberland,"Lackington, Allen; Co.",4
Richard Cumberland,T. Becket,2
Richard Cumberland,William Griffin,4
Richard Harris,Hutchings; Crowsley,1
Richard Hovey,United States Book Company,1
